document_id,stock_code,ticker,year,auditor_firm,big4,total_assets_rm000,profit_rm000,loss_flag,unit,notes
MDA_5008_HARISON_2021,5008,HARISON,2021,PwC,1,741430,44476,0,RM'000,profit_from_next_year_comparative
MDA_5008_HARISON_2022,5008,HARISON,2022,PwC,1,919006,67981,0,RM'000,
MDA_5008_HARISON_2023,5008,HARISON,2023,PwC,1,944544,68798,0,RM'000,
MDA_5008_HARISON_2024,5008,HARISON,2024,PwC,1,974727,42992,0,RM'000,
MDA_5102_GCB_2020,5102,GCB,2020,BDO,0,98123458,222709035,0,RM,
MDA_5102_GCB_2021,5102,GCB,2021,BDO,0,101880125,154838455,0,RM,
MDA_5102_GCB_2022,5102,GCB,2022,BDO,0,108768791,147410462,0,RM,
MDA_5102_GCB_2023,5102,GCB,2023,BDO,0,111434206,100925917,0,RM,
MDA_5102_GCB_2024,5102,GCB,2024,BDO,0,138448421,429158425,0,RM,
MDA_5157_SG_2020,5157,SG,2020,Grant Thornton,0,75528360,-30611083,1,RM,
MDA_5157_SG_2021,5157,SG,2021,Grant Thornton,0,141319044,-4372939,1,RM,
MDA_5157_SG_2022,5157,SG,2022,Grant Thornton,0,149579109,-4406136,1,RM,
MDA_5157_SG_2023,5157,SG,2023,Grant Thornton,0,156259148,-7366977,1,RM,
MDA_5157_SG_2024,5157,SG,2024,Grant Thornton,0,155209310,-6063008,1,RM,
MDA_5187_HBGLOB_2020,5187,HBGLOB,2020,UHY,0,419760,-45290,1,RMB'000,ta_manual_verified
MDA_5187_HBGLOB_2021,5187,HBGLOB,2021,Folks DFK,0,493477,-45290,1,RMB'000,profit_manual_verified;ta_from_next_year_comparative
MDA_5187_HBGLOB_2022,5187,HBGLOB,2022,UHY,0,270308,-2302,1,RMB'000,
MDA_5187_HBGLOB_2023,5187,HBGLOB,2023,UHY,0,222336,-45840,1,RMB'000,
MDA_5187_HBGLOB_2024,5187,HBGLOB,2024,UHY,0,215231,-3612,1,RMB'000,
MDA_5188_CNOUHUA_2020,5188,CNOUHUA,2020,UHY,0,196000,-15940,1,RMB'000,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2021,5188,CNOUHUA,2021,UHY,0,194790,-4080,1,RMB'000,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2022,5188,CNOUHUA,2022,UHY,0,168530,-24690,1,RMB'000,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2023,5188,CNOUHUA,2023,UHY,0,163060,-7070,1,RMB'000,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2024,5188,CNOUHUA,2024,UHY,0,111240,-46670,1,RMB'000,ta_external_web;profit_external_web
MDA_5202_MSM_2020,5202,MSM,2020,PwC,1,2770280,-71228,1,RM'000,
MDA_5202_MSM_2021,5202,MSM,2021,PwC,1,2870839,-178712,1,RM'000,profit_from_next_year_comparative
MDA_5202_MSM_2022,5202,MSM,2022,PwC,1,2811793,-178712,1,RM'000,
MDA_5202_MSM_2023,5202,MSM,2023,PwC,1,2890753,-49884,1,RM'000,
